"Area_Name","Ban_No","Cmpy_Name","Cmpy_Add","Cap_Amt","Cmpy_Rep","Estab_App_Date","twd97X","twd97Y","wgs84aX","wgs84aY"
"新北市中和區","02359475","大德玻璃有限公司","新北市中和區民富街3號1樓","1000000","簡金水","0741227","298102.38","2766646.68","121.47656800","25.00708300"
"新北市中和區","02360199","天皇企業有限公司","新北市中和區自立路20巷10號2樓","2000000","詹月娥","0741123","302667.74","2765147.26","121.52174000","24.99339400"
"新北市中和區","02360677","大川冷凍食品工業有限公司","新北市中和區員山路466巷32號(2樓)","26000000","劉裕川","0730504","298640.46","2766540.57","121.48189500","25.00610800"
"新北市中和區","02362491","三青實業有限公司","新北市中和區立言街53號","5000000","李青和","0741231","299278.33","2766655.68","121.48821800","25.00712600"
"新北市中和區","02363479","明社顏料廠股份有限公司","新北市中和區中正路988巷2號","6000000","洪曾貴櫻","0740903","298671.9","2766907.36","121.48221900","25.00941800"
"新北市中和區","02365434","榮法有限公司","新北市中和區莊敬路49巷29弄9號1樓","1000000","連珮君","0741218","300569.63","2766557.82","121.50100800","25.00620000"
"新北市中和區","03101946","中福國際股份有限公司","新北市中和區廟美里景平路666號2樓","1397800800","黃立中","0600115","300213","2765956.34","121.49745300","25.00078200"
"新北市中和區","03188020","華信通運有限公司","新北市中和區中山路3段39號7樓之8","25000000","徐建華","0590706","298221.12","2766444.2","121.47773700","25.00525100"
"新北市中和區","03221822","東尼貿易有限公司","新北市中和區國光街109巷12弄18號4樓","5000000","賴安嫻","0580714","297346.77","2765907.87","121.46905600","25.00043600"
"新北市中和區","03345921","海商企業有限公司","新北市中和區建八路2號8樓","18000000","蕭軻飛","0581011","299076.74","2765680.39","121.48618600","24.99832800"
"新北市中和區","03430412","年欣股份有限公司","新北市中和區景平路71之3號2樓","15000000","張苡瑈","0580416","302420.88","2764923.11","121.51928600","24.99137900"
"新北市中和區","04251767","志開科技股份有限公司","新北市中和區建八路2號6樓之6","200000000","邢舜","0640910","299076.74","2765680.39","121.48618600","24.99832800"
"新北市中和區","04292845","雍德企業有限公司","新北市中和區中正路738號5樓之1","5000000","歐進崑","0620907","299014.01","2765656.11","121.48556400","24.99811100"
"新北市中和區","04308375","佳懋實業有限公司","新北市中和區員山路327巷68號5樓","2000000","鄭王銘","0630710","298439.04","2766095.64","121.47988400","25.00209700"
"新北市中和區","04314284","榮珍針織股份有限公司","新北市中和區中正路786號13樓","5000000","黃建興","0600219","298981.75","2765951.32","121.48525500","25.00077700"
"新北市中和區","04326726","欣新印刷文具股份有限公司","新北市中和區板南路667號5樓","11200000","周俊絨","0640902","298822.98","2766756.87","121.48371100","25.00805400"
"新北市中和區","04329575","錦苑實業有限公司","新北市中和區中和路265號2樓","2000000","許正勳","0641015","301019.66","2765853.36","121.50544000","24.99982500"
"新北市中和區","04338167","衡德貿易有限公司","新北市中和區中正路738號5樓之1","10000000","林碧玉","0650320","299014.01","2765656.11","121.48556400","24.99811100"
"新北市中和區","04344317","三昌機械設計股份有限公司","新北市中和區中正路503號3樓","6000000","王碧娥","0650604","299335.12","2765203.16","121.48872900","24.99401100"
"新北市中和區","04353315","北華工藝有限公司","新北市中和區連城路137之2號","6000000","呂李秀鳳","0651124","300059.67","2765740.65","121.49592600","24.99884000"
"新北市中和區","04368767","永光彩色印刷股份有限公司","新北市中和區建三路9號","20000000","陳建超","0570611","299077.42","2766237.13","121.48621300","25.00335400"
"新北市中和區","04370412","飛泰貿易有限公司","新北市中和區建一路150號14樓之1","60000000","范光平","0620323","299240.74","2765681.72","121.48781100","24.99833400"
"新北市中和區","04373847","英伍實業有限公司","新北市中和區圓通路367巷33弄90號3樓","29000000","賴茂民","0620514","299958.27","2764131.12","121.49486300","24.98431200"
"新北市中和區","04403672","海立電氣股份有限公司","新北市中和區中山路2段359巷5號5樓","40000000","徐光輝","0630204","299331.51","2766300.54","121.48873200","25.00391800"
"新北市中和區","04424677","台灣威德機電工業有限公司","新北市中和區南山路18號1樓","12000000","江欣儀","0630719","300669.85","2765696.75","121.50196900","24.99842300"
