"教會_堂_登記概況","教會_堂_數","已辦理財團法人登記","未辦理財團法人登記"
"106年/ 南投縣 / 回教","-","-","-"
"106年/ 南投縣 / 天理教","-","-","-"
"106年/ 南投縣 / 巴哈尹教","-","-","-"
"106年/ 南投縣 / 真光教","-","-","-"
"106年/ 南投縣 / 山達基教會","-","-","-"
"106年/ 南投縣 / 統一教","-","-","-"
"106年/ 南投縣 / 摩門教","-","-","-"
"106年/ 南投縣 / 其他","-","-","-"
"106年/ 雲林縣 / 宗教別總計","62","9","53"
"106年/ 雲林縣 / 天主教","21","4","17"
"106年/ 雲林縣 / 基督教","39","4","35"
"106年/ 雲林縣 / 回教","-","-","-"
"106年/ 雲林縣 / 天理教","2","1","1"
"106年/ 雲林縣 / 巴哈尹教","-","-","-"
"106年/ 雲林縣 / 真光教","-","-","-"
"106年/ 雲林縣 / 山達基教會","-","-","-"
"106年/ 雲林縣 / 統一教","-","-","-"
"106年/ 雲林縣 / 摩門教","-","-","-"
"106年/ 雲林縣 / 其他","-","-","-"
"106年/ 嘉義縣 / 宗教別總計","76","55","21"
"106年/ 嘉義縣 / 天主教","28","23","5"
"106年/ 嘉義縣 / 基督教","47","32","15"
"106年/ 嘉義縣 / 回教","-","-","-"
"106年/ 嘉義縣 / 天理教","1","-","1"
"106年/ 嘉義縣 / 巴哈尹教","-","-","-"
"106年/ 嘉義縣 / 真光教","-","-","-"
"106年/ 嘉義縣 / 山達基教會","-","-","-"
"106年/ 嘉義縣 / 統一教","-","-","-"
"106年/ 嘉義縣 / 摩門教","-","-","-"
"106年/ 嘉義縣 / 其他","-","-","-"
"106年/ 屏東縣 / 宗教別總計","156","59","97"
"106年/ 屏東縣 / 天主教","52","38","14"
"106年/ 屏東縣 / 基督教","102","20","82"
"106年/ 屏東縣 / 回教","-","-","-"
"106年/ 屏東縣 / 天理教","-","-","-"
"106年/ 屏東縣 / 巴哈尹教","-","-","-"
"106年/ 屏東縣 / 真光教","-","-","-"
"106年/ 屏東縣 / 山達基教會","-","-","-"
"106年/ 屏東縣 / 統一教","-","-","-"
"106年/ 屏東縣 / 摩門教","1","-","1"
"106年/ 屏東縣 / 其他","1","1","-"
"106年/ 臺東縣 / 宗教別總計","282","39","243"
"106年/ 臺東縣 / 天主教","87","11","76"
"106年/ 臺東縣 / 基督教","182","27","155"
"106年/ 臺東縣 / 回教","-","-","-"
"106年/ 臺東縣 / 天理教","1","1","-"
"106年/ 臺東縣 / 巴哈尹教","-","-","-"
"106年/ 臺東縣 / 真光教","-","-","-"
"106年/ 臺東縣 / 山達基教會","-","-","-"
"106年/ 臺東縣 / 統一教","-","-","-"
"106年/ 臺東縣 / 摩門教","-","-","-"
"106年/ 臺東縣 / 其他","12","-","12"
"106年/ 花蓮縣 / 宗教別總計","289","69","220"
"106年/ 花蓮縣 / 天主教","87","18","69"
"106年/ 花蓮縣 / 基督教","202","51","151"
"106年/ 花蓮縣 / 回教","-","-","-"
"106年/ 花蓮縣 / 天理教","-","-","-"
"106年/ 花蓮縣 / 巴哈尹教","-","-","-"
"106年/ 花蓮縣 / 真光教","-","-","-"
"106年/ 花蓮縣 / 山達基教會","-","-","-"
"106年/ 花蓮縣 / 統一教","-","-","-"
"106年/ 花蓮縣 / 摩門教","-","-","-"
"106年/ 花蓮縣 / 其他","-","-","-"
"106年/ 澎湖縣 / 宗教別總計","20","5","15"
"106年/ 澎湖縣 / 天主教","4","1","3"
"106年/ 澎湖縣 / 基督教","16","4","12"
"106年/ 澎湖縣 / 回教","-","-","-"
"106年/ 澎湖縣 / 天理教","-","-","-"
"106年/ 澎湖縣 / 巴哈尹教","-","-","-"
"106年/ 澎湖縣 / 真光教","-","-","-"
"106年/ 澎湖縣 / 山達基教會","-","-","-"
"106年/ 澎湖縣 / 統一教","-","-","-"
"106年/ 澎湖縣 / 摩門教","-","-","-"
"106年/ 澎湖縣 / 其他","-","-","-"
"106年/ 基隆市 / 宗教別總計","55","24","31"
"106年/ 基隆市 / 天主教","8","4","4"
"106年/ 基隆市 / 基督教","46","20","26"
"106年/ 基隆市 / 回教","-","-","-"
"106年/ 基隆市 / 天理教","1","-","1"
"106年/ 基隆市 / 巴哈尹教","-","-","-"
"106年/ 基隆市 / 真光教","-","-","-"
"106年/ 基隆市 / 山達基教會","-","-","-"
